,A0101,A0201,A0202,A0203,A0204,A0205,A0206,A0207,A0211,A0301,A1101,A1102,A2301,A2402,A2407,A2501,A2601,A2902,A3001,A3002,A3101,A3201,A3301,A3303,A3401,A3402,A3601,A6601,A6801,A6802,A7401,B0702,B0704,B0801,B1301,B1302,B1402,B1501,B1502,B1503,B1510,B1517,B1801,B2705,B3501,B3503,B3507,B3701,B3801,B3802,B4001,B4002,B4006,B4201,B4402,B4403,B4501,B4601,B4901,B5001,B5101,B5201,B5301,B5401,B5501,B5502,B5601,B5701,B5703,B5801,B5802,C0102,C0202,C0302,C0303,C0304,C0401,C0403,C0501,C0602,C0701,C0702,C0704,C0801,C0802,C1202,C1203,C1402,C1403,C1502,C1601,C1701,G0101,G0103,G0104,PAN
12,0.07954091409964992,0.059453973746104616,0.053499870128407956,0.039426074771214736,0.05723807943280823,0.07546999089851969,0.09189923587718596,0.05211500618731124,0.09608019591663552,0.09076700047959507,0.1307344050724062,0.12574841365773404,0.07486299918670314,0.055991212820140746,0.0680099368967313,0.12842452786542458,0.12870906791898262,0.18422877165258988,0.1692631149217414,0.10129313049069477,0.21779156777270625,0.08443545158306343,0.17735028566570854,0.11877219988287546,0.1362326826951561,0.10039570134582121,0.15809215529975162,0.10177900125580264,0.12902901280508994,0.19074831517602497,0.08371036269350318,0.08062385944034434,0.11277915127179439,0.2576478029449083,0.07288061581936223,0.09149472659372693,0.15190150002190528,0.07600604976485048,0.1531695282179264,0.06941396375464315,0.07600802574372123,0.09288908710164812,0.05910628500228743,0.05858789656872476,0.1653916388234098,0.12275157040458495,0.1677700805565343,0.10905313784284054,0.09474995604679703,0.08128286900341886,0.05423549390437632,0.0571056386522506,0.053996564681210835,0.09124154250116367,0.039951126428921846,0.03465431484256776,0.06591217246230174,0.16328217462522598,0.041378929227648964,0.09417773471080837,0.3175685217623401,0.15794146096275297,0.1547825555861273,0.15292267957391692,0.10818941141559613,0.07726379779160908,0.11115030645621982,0.11486098517628918,0.062499929042165725,0.09193823273692736,0.12301188679379393,0.1441957180246174,0.13916388811863678,0.11901616924669112,0.11482771839127492,0.09748843322427314,0.09606826925955048,0.19531809721782167,0.1273706692067158,0.14503210201874062,0.2104780286393666,0.11677413359987554,0.2860830157244596,0.11494394843283873,0.07344667105392944,0.08219347939146138,0.09313669461757446,0.061732622159643924,0.04823273277305251,0.08694236867763383,0.09006850270120914,0.11942024461181688,0.1529168548003641,0.19232242381104836,0.17005117062513353,0.06947143006605305
13,0.09937121805754323,0.07843459553922294,0.07740356850608787,0.07803415152030446,0.11415177510470453,0.09785134989872635,0.1240780559824497,0.06598398388366888,0.11211738517921432,0.11676249526206384,0.06958068503422332,0.08313245023748372,0.10958281538734749,0.10630061181128436,0.16230683428322834,0.16118556023592223,0.14004876713989356,0.24250023263181575,0.1355965022899781,0.10642561294216701,0.18836187986120478,0.08753664965709707,0.1156773262195907,0.10632321908135456,0.09860819708332613,0.09046451453489368,0.15525797864677804,0.10489815940018765,0.14329339822846165,0.18442653789624508,0.09355096353246672,0.14400077932665223,0.16064947389482853,0.25290952296484015,0.07488416114175322,0.10279892116403389,0.12904280787592182,0.08424948132469545,0.16306866569667733,0.06723067361501922,0.13463667930631296,0.12732600406190198,0.12698198755983903,0.1402562475341398,0.2504053893725935,0.13896001222186882,0.1365212514718408,0.15127662527310992,0.09501882993397004,0.08648980751747182,0.07956846558036546,0.07759203573615547,0.09358821909602888,0.07771708580337311,0.182508935663102,0.21728339727713397,0.1295207715222908,0.1760317283507744,0.07505407968617295,0.24275340990336236,0.11875483540177445,0.14345826467475575,0.11318990761932568,0.1657448291957353,0.14843751523126159,0.15307125642597263,0.13986367697100288,0.19344873332831725,0.09348261592719265,0.12501085606302365,0.2251285957944642,0.12527800563483726,0.1781216130545209,0.15734732692341513,0.10158719018833295,0.09875851089554999,0.10212155864234695,0.1531564602697646,0.07495797139578375,0.1362154886040674,0.21598691901552058,0.2034234578125007,0.26492479364313315,0.13415289559233834,0.05164755931247145,0.14454817970186706,0.11758635989438915,0.13832888197330906,0.08476963703542495,0.09617958770108981,0.08028215443900155,0.15444937975686646,0.14311495185321066,0.1494775710618077,0.16496881628918247,0.025562791905286986
14,0.19054044263647718,0.07804166052754002,0.06682954759772208,0.06641391248269457,0.0958594081121964,0.07610854405724776,0.1112090228331235,0.06141235924790678,0.10610889467032258,0.11606375797643675,0.07173657188435634,0.09195857448904565,0.07872861471434245,0.08974695442158342,0.13835464701747746,0.16142548228220654,0.1467679252499572,0.17253425806840816,0.17143174033177733,0.11665018702392072,0.22124000177422243,0.09276398554307885,0.10700897078431115,0.08167380702807225,0.10671837321612632,0.09528566347788736,0.14689108038532428,0.11453302149130806,0.14261337618853798,0.1506895080955193,0.10196785125982899,0.12353888782596734,0.15448550671992312,0.22423200474514005,0.06771704796276179,0.0986213017493176,0.1564742077006951,0.07253695569454877,0.1420450168523395,0.11241517078866803,0.14178836192105315,0.12429463243999095,0.11264043866374962,0.13209056103940497,0.24805902405755553,0.1515045047351835,0.12847623670947694,0.1252178920794531,0.1011944773675788,0.09813664828643809,0.10109953103570835,0.07518288664358064,0.1111299223224762,0.07695365653466091,0.18370446153892672,0.18285506456509548,0.13214142442495458,0.18045258176539125,0.06810414514428498,0.3037713367056396,0.11929780648397248,0.13759471887632824,0.12222824553693812,0.1803957648069554,0.1411879290978595,0.14221153318850188,0.1354759517750601,0.2032675295250037,0.1407952906360137,0.1397031164773459,0.21323393151450176,0.14072119289969898,0.21600959895488803,0.13843105172936188,0.09580327344515016,0.088281987028064,0.1271868037292876,0.1668362183417056,0.11820199704520018,0.15261957075928123,0.24118090248992363,0.1834267596869461,0.2717151054365958,0.09567976825900004,0.0621507992209267,0.15228034617663777,0.10504727314778872,0.13751571885814062,0.07424023891587517,0.10719422651237664,0.0768637493360389,0.18543872830598396,0.1653862444896852,0.18567450929617024,0.19405953668345344,0.013404226304774447
15,0.19405514881348296,0.07107290199749272,0.08423340322963746,0.08277199503710886,0.1058837262555361,0.06983052439101112,0.1023157052874506,0.06520851509672454,0.1099094701306953,0.10960839765462893,0.05893610563683893,0.08269412185061231,0.09254951611731421,0.09401560560078082,0.15502878045036983,0.1690419519064692,0.1354036271266521,0.17881983617399655,0.14261513996937403,0.09183243071765101,0.21713654769922108,0.08169547828065671,0.11207927474138746,0.09493964566207147,0.09567660683341117,0.09936983737585514,0.12615537508978303,0.1205553104441881,0.15221840006419907,0.1491545393759237,0.0842112731108875,0.13621553856864654,0.1317969502350298,0.18000956112563227,0.054717700425525706,0.09306412043867773,0.16309645535651018,0.06541899977592625,0.14263492355008722,0.0699869307367127,0.14430354816913038,0.1230407649041938,0.08548744925151563,0.13920547388475324,0.23228194218088039,0.1429800886070165,0.10931415126744337,0.12388564641472488,0.09225594255164449,0.06981019434800917,0.08083675530126122,0.06264932308614757,0.09344390333245656,0.06869180714060708,0.16098434746473966,0.17839756454926992,0.13172716379250726,0.17538062998105985,0.06343263566146273,0.29012435297396877,0.11317677391461345,0.13812208805961568,0.09111297848184119,0.15031746184643158,0.13923688388176103,0.13245598886684462,0.12154001735109521,0.17980292170246948,0.08541557756452622,0.10917196587263778,0.1840278966649036,0.13818531139504042,0.20226785402078384,0.15522576306652436,0.11257898818054368,0.08938315473494907,0.1356124780210326,0.17385160613745487,0.13927487384780157,0.16005339456731882,0.2293534280341465,0.17606732713372608,0.2644927594818718,0.10343489148208018,0.07151773367258762,0.1360993561106021,0.09373248872857332,0.13903903199413392,0.07610418421478826,0.07414461994449617,0.07857678783942479,0.16341365875647362,0.17296348086617197,0.20680026459449774,0.1895686250465234,0.01030346504987456
16,0.21815495051637335,0.07461132101367429,0.06163986507348174,0.0741502615152978,0.08889763927524186,0.07811026211073724,0.10082928222322707,0.06172140790131486,0.10854433085135273,0.08997374719507789,0.06753271586262155,0.08517822556875032,0.09867325971188379,0.09889860921896343,0.148456731967892,0.13362361137654233,0.118941968678131,0.19628672271177283,0.17967312834977545,0.096964843052044,0.16788872127712917,0.07979941921771339,0.09886037533487446,0.09560264752535286,0.09528593750230563,0.07998709083089217,0.12132290808390067,0.11219002005934353,0.12082188174314279,0.12413960979271099,0.08166576805996417,0.11628125336486761,0.13047589645200475,0.22665169826583753,0.045467654570353844,0.09121982233524495,0.1427845075482388,0.06100240848960947,0.13506375959358508,0.0728465373433469,0.14076118139876215,0.09764015060575026,0.0978403182246188,0.11551916104364146,0.22277176903982188,0.12842954235489135,0.10448634645266353,0.11109982968623999,0.085834185464158,0.07271231548469625,0.06479466181973503,0.053971081886383665,0.09519466311725733,0.0711205883495305,0.1687965023656508,0.2107195966210229,0.13525616064966695,0.17811257531553437,0.052178828593020476,0.25846357627390937,0.10623851696342346,0.12299731328013941,0.10357156904014175,0.14943060010017994,0.12679214821446294,0.10665831498792588,0.10179335555229319,0.18793953428427823,0.06894349975080427,0.10522479100172522,0.18343457786611683,0.1511286707743853,0.17603994971142178,0.14385953215709169,0.09007545471447553,0.1042264800495083,0.1072632875029953,0.17151220415417967,0.12954268560384286,0.16021807876391936,0.19426940863247122,0.166406839448193,0.21586675682729695,0.10443724401906618,0.061739812687920725,0.12510051614721096,0.09344640126592818,0.14405052613123104,0.07929768870892673,0.07103975430084741,0.07784325145801319,0.1579283402045597,0.1892896814918883,0.21056935788279674,0.19359804927073565,0.007477369749744334
17,0.18021586100503661,0.062440165509617174,0.06380373788918181,0.07433991112111382,0.09715376043256185,0.07214418321591065,0.0828946538904285,0.04719625761479662,0.10808128028476283,0.10595707034035584,0.06446395032103958,0.08843566412299353,0.08405115966788834,0.0865644852897356,0.119526155760731,0.15834288006181296,0.11549051237859498,0.2029302151197907,0.1518210446292807,0.11212897891716089,0.17769841317545243,0.07826609481408475,0.09392104249465483,0.07865382900074636,0.08726805904322976,0.07218690274919037,0.11040157645009963,0.09818100176407984,0.1291114126202526,0.13527930540861277,0.09554092327921815,0.11510563850954991,0.1356322616818817,0.25963687593355544,0.05850849758856658,0.10445413058672237,0.1246635208623843,0.058636566487919595,0.1458273705884352,0.06955930789060272,0.1229796745155749,0.11399367659859028,0.09722743579445758,0.1579232999598581,0.2031917321649388,0.1357453967490585,0.10261746571972452,0.12571988171346327,0.09114719573293684,0.07976702158989823,0.0759887986766401,0.059733183385461075,0.09124291251798677,0.06796880367697522,0.1666661805234959,0.19818330788033478,0.11301132618879706,0.1630431148343039,0.055266085705984125,0.264033660748634,0.10927713100822434,0.11997994001080503,0.09881978205940634,0.15446706307125968,0.12208381101272625,0.1148035738738935,0.10962836912982254,0.1665112134680502,0.08120095069300781,0.10079294535527339,0.17418524555340564,0.15048416384991192,0.18361124968725306,0.13826280541490998,0.09474536068819894,0.09789563549838487,0.09932785938892064,0.1630403907536797,0.11190791550575163,0.1301250178641311,0.20739203132252904,0.1847089065644809,0.19489796463612663,0.09192915756899556,0.06720956420601354,0.1354640320464311,0.09998042453557776,0.12759502787466648,0.07326592810306032,0.06896825107948601,0.08233114754582438,0.15171348988230626,0.1600647468600931,0.1726681019314924,0.12711330659430375,0.0068511944263862645
18,0.17997147331971597,0.07276937507217163,0.06220804221500931,0.06577040884574448,0.10289866698328609,0.06599040335860629,0.09161728462018726,0.062208683417317445,0.11531097323502415,0.12052494695890914,0.05871029930929783,0.07690885970477979,0.0923112202427987,0.09326242059433465,0.12335135722077162,0.12676636459176827,0.12259621414464306,0.1692083509077893,0.14236856432602707,0.08563533982458438,0.18193894364979446,0.05936577206444582,0.09307243501925822,0.08250326295998978,0.09074847495061711,0.07668675504256495,0.12856127651457605,0.09588076791752442,0.12648351464320928,0.15141478397067232,0.07349206310788858,0.10665703075790045,0.11179958910240195,0.23206006574941096,0.04104247461937938,0.08986887431639268,0.1316406236115082,0.055321714996343196,0.11177282978221292,0.06535762857298621,0.12581606640403287,0.09073203610527347,0.09694044572718585,0.13079426067447208,0.1852678542906423,0.12679069001826715,0.10453524691281224,0.11693709538888264,0.08181372499507944,0.06490750571295578,0.06688335122986544,0.056639584387609965,0.0764336488937154,0.07016683543287616,0.15061639961630036,0.21564995588117952,0.10460888182714179,0.16005094792443852,0.05364224057177047,0.24153029736735832,0.12048204161179044,0.11374050484246823,0.10277541942684287,0.1549424525808103,0.10990699223216716,0.11406083085219532,0.1030944902353772,0.14559779071616497,0.06317465220830254,0.10535562753126815,0.13351508227651632,0.12310381456913166,0.16734087454887003,0.10817128422431477,0.09903081996446161,0.08590619481109218,0.1071811407717016,0.18431260081338863,0.11164495027182308,0.128016675204484,0.20487689178492463,0.17576947530399423,0.2507343637440682,0.09449434578789351,0.061203521578008235,0.1389075397602113,0.08804608471058994,0.1331160510545013,0.07279331738116745,0.05735299716223796,0.07278610215976578,0.15057083476190236,0.16360977832286672,0.18192612727660862,0.18661296138291572,0.007225604436580824
10,0.07091167321238334,0.04378404159310101,0.03769876239266923,0.04224969908264686,0.053472782911708094,0.057366195001765874,0.053793137495409926,0.0447728419353548,0.06839935239755413,0.0903648825465404,0.0465951592439211,0.05188913315279109,0.06859981206315124,0.03394792746442166,0.050829539463694395,0.11422484556444346,0.09763185609867708,0.038173138092004955,0.09923783385020624,0.051017804938342515,0.05639239607476876,0.07689258413834565,0.046871149264877676,0.034816155322056286,0.06327392244066044,0.05909627099114223,0.11492251235394813,0.06468046275375627,0.06642170574800721,0.16496442482983298,0.04314831347018666,0.04524886980231546,0.07004209351561697,0.09438665137510505,0.03248033797985439,0.04441264776054732,0.07718882886973688,0.04092516519377565,0.07565490473808412,0.04530487349518486,0.06619343430162905,0.04570647563723629,0.07434199301872546,0.08955017106324892,0.11315262608247378,0.057049031671232875,0.07536832878615929,0.07359183732552532,0.04412718363839385,0.03887688190265237,0.02872210744054815,0.04112444920445224,0.04917801097551466,0.04268324696542125,0.08939488042817922,0.12338049150447539,0.053294345010721944,0.0992950706354816,0.03807896607034955,0.1641175430509616,0.06561350352306183,0.06237627961194114,0.11498413979414934,0.12150783299010559,0.08683210634563387,0.08680341661384228,0.10549178348076271,0.10518036367865502,0.07664406752794939,0.08479425007118602,0.08840293819568812,0.05592177405335175,0.1012037005515527,0.10644485387773672,0.0777622366650439,0.04723735128658513,0.0732173993422034,0.15983006459448212,0.0761855778747913,0.07212308221163122,0.12966256167093526,0.09702873053276218,0.1675528366085648,0.06275266979100103,0.04306880206463504,0.07422638621115585,0.07771292732572377,0.06914966260894229,0.055524030515321066,0.05467643118876797,0.05860769392206677,0.07500582049937066,0.0672234824755451,0.05472762603632875,0.056632603605105025,0.046682369393129086
23,0.085833300495322,0.05798764788754829,0.07549022409242223,0.05201180796660898,0.06760491914455669,0.10731308614119861,0.07999998928995566,0.07652747729892218,0.1131996399894506,0.08419263109020214,0.08792730000797278,0.09604864313044814,0.114764195018763,0.1103218029008235,0.1527325873483849,0.12022952954735544,0.1182445524377802,0.1935834644444041,0.18175994631200432,0.10024352413025372,0.19165174972664456,0.08065668871736253,0.14000002134519374,0.10821881109705878,0.09818123198654405,0.0846556640094338,0.16303817787762753,0.09928214959955461,0.11477098863673696,0.19074457515672094,0.07425096326624736,0.08686652443033926,0.09003297280799982,0.18841402736220658,0.046701197998581634,0.09268438886845676,0.1571023164738099,0.08408243106386681,0.14942245976047275,0.08820022830387098,0.07095732815868816,0.08639119720735522,0.07659359161785417,0.08114076734612086,0.11349784250420836,0.060956725930595645,0.07565119090589434,0.18584591335921896,0.08915786162834483,0.07852811567289475,0.02871438135590365,0.05578872170214977,0.06213209663952268,0.06924562129615586,0.031574409384087954,0.03264836498724977,0.046792460080224085,0.20275982038635298,0.0254281920781807,0.1034036803316889,0.07683752626247609,0.17915918909846784,0.06593311984587524,0.11730988017063071,0.11172881548770563,0.0657265673176366,0.1025943396956186,0.10049481132891458,0.06107860844761248,0.08152345266920591,0.14044380899857067,0.2689136080021095,0.1574654770624555,0.15202290423677045,0.0892731341990407,0.07421711526301067,0.09136013751938465,0.20065549265201055,0.06320666087677118,0.2199565206236871,0.29182806988472265,0.14820843320300314,0.3764519538343869,0.15676703810158354,0.062269198121926106,0.13733727785991867,0.09594789479427934,0.07721296478332773,0.08482471787432644,0.07824971476909681,0.09844667219336056,0.1470693388839739,0.20807584201642904,0.21557590721925868,0.22456240715231512,0.049524337110612215
24,0.10622517720439895,0.052088246488033896,0.05106469294650928,0.03949121132517153,0.06003002101561039,0.055738007962879976,0.05816606084063558,0.04274413896126772,0.09930613487241358,0.07911303635171674,0.07167006455964664,0.07965766355496395,0.06656692499939387,0.061934563745291715,0.07918859774114884,0.09679029482128332,0.11178977548097002,0.15070455151909457,0.165703006857993,0.1128173912451258,0.17597059846387086,0.07173712661529841,0.12173326890616565,0.09752191967382551,0.0933173444214992,0.06398947621909556,0.10365672278422533,0.08537268692710587,0.10229514688379204,0.14697916943565303,0.07881176592510908,0.06095546241501504,0.07048001936176718,0.21775914982218758,0.05074421738957291,0.08330789628388313,0.15917541531321167,0.07126718929035203,0.13258752999366497,0.06217718005037831,0.07934351609494872,0.07137812500846863,0.04647428023332756,0.06184311694985567,0.07828188922407442,0.045740001022299026,0.06292203287053733,0.09254268375666719,0.06394342123247077,0.056677186599987994,0.025824448169209813,0.03630793494417217,0.046130408093928654,0.047820686497495934,0.03264277652984404,0.03320811321156514,0.05093627183065186,0.15501094107843016,0.02525866084342665,0.08347382965101469,0.07612835524814354,0.13230215760194852,0.05182344036688713,0.10511829528592642,0.0740064611014346,0.062220979554783895,0.07212026171840868,0.09218941164445127,0.0586581764885965,0.06819977487335294,0.13431021819210276,0.14967190194629065,0.12150424477333921,0.1244533743707823,0.07938144095389088,0.0789409563828114,0.10246248481830733,0.19649427086526128,0.10925266829502345,0.14537216468730918,0.22221488949917845,0.11941290459052878,0.294772716741611,0.11738074945146293,0.07642834859595737,0.09541662899203152,0.07980244851631912,0.0646792059855823,0.049951827227229906,0.07364882823506314,0.08279201016552129,0.1083427028266657,0.1977593342828179,0.2121829711477785,0.23359570355640358,0.026343843021181534
